,classifier,score,accuracy,recall,specificity,precision,FPR,FNR,CV-10 mean,CV-10 std,No Skill ROC AUC,Logistic ROC AUC,Precision-Recall AUC,F1
0,Nearest Neighbors,0.65,0.65,1.0,0.36363636363636365,0.5625,0.6363636363636364,0.0,87.5,16.77050983124842,0.5,0.33333333333333337,0.3397060303149054,0.72
1,Linear SVM,0.75,0.75,1.0,0.5454545454545454,0.6428571428571429,0.45454545454545453,0.0,90.0,16.583123951777,0.5,0.33333333333333337,0.3397060303149054,0.782608695652174
2,RBF SVM,0.45,0.45,1.0,0.0,0.45,1.0,0.0,0.0,0.0,0.5,0.33333333333333337,0.3397060303149054,0.6206896551724138
3,Gaussian Process,0.95,0.95,1.0,0.9090909090909091,0.9,0.09090909090909091,0.0,95.0,15.0,0.5,0.33333333333333337,0.3397060303149054,0.9473684210526316
4,Decision Tree,0.65,0.65,0.8888888888888888,0.45454545454545453,0.5714285714285714,0.5454545454545454,0.1111111111111111,75.0,19.364916731037084,0.5,0.33333333333333337,0.3397060303149054,0.6956521739130435
5,Random Forest,0.75,0.75,0.8888888888888888,0.6363636363636364,0.6666666666666666,0.36363636363636365,0.1111111111111111,67.5,22.5,0.5,0.33333333333333337,0.3397060303149054,0.761904761904762
6,Neural Net,0.8,0.8,0.8888888888888888,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.1111111111111111,87.5,16.77050983124842,0.5,0.33333333333333337,0.3397060303149054,0.7999999999999999
7,AdaBoost,0.8,0.8,0.8888888888888888,0.7272727272727273,0.7272727272727273,0.2727272727272727,0.1111111111111111,82.5,16.00781059358212,0.5,0.33333333333333337,0.3397060303149054,0.7999999999999999
8,Naive Bayes,0.6,0.6,0.5555555555555556,0.6363636363636364,0.5555555555555556,0.36363636363636365,0.4444444444444444,60.0,22.912878474779202,0.5,0.33333333333333337,0.3397060303149054,0.5555555555555556
9,QDA,0.45,0.45,0.5555555555555556,0.36363636363636365,0.4166666666666667,0.6363636363636364,0.4444444444444444,50.0,15.811388300841896,0.5,0.33333333333333337,0.3397060303149054,0.4761904761904762
